,listA,listB,listC
1,play,time,him
2,we,plays,people
3,miss,moon,open
4,black,left,look
5,become,plane,candy
6,sun,come,morning
7,shine,toy,contain
8,liberty,bangs,gravel
9,however,long,imagine
10,back,natural,watch
11,without,farmer,sick
12,pickle,animal,lame
13,resolve,jewel,investigate
14,elements,budget,distance
15,brought,into,pretty
16,arm,building,money
17,will,understand,hot
18,best,number,chance
19,custom,went,grasshopper
20,answer,give,garden
21,testify,circus,qualify
22,them,peace,round
23,waves,truck,agreed
24,library,wood,more
25,from,tried,complete
26,guess,hammer,history
27,describe,famous,compliment
28,inside,great,through
29,purchase,pencil,short
30,faster,light,almost
31,mystery,business,question
32,dryer,pledge,configuration
33,invent,doubtful,an
34,reverse,brush,begin
35,once,street,spy
36,whose,guarantee,overwhelm
37,fatter,accustomed,garment
38,telescoped,potent,appropriates
39,uoy,hu,ap
40,fror,ypla,khtna
41,om,ot,fafever
42,ujst,asca,cok
43,inni,spu,orn
44,wared,sain,swane
45,leld,shring,runey
46,arsher,bove,slace
47,blans,germantia,drustion
48,ggnoi,unger,alk
49,bledge,cotplicant,cas
50,cuppom,clomify,oban
51,ancrusinishness,charks,pame
52,crit,ase,hane
53,ef,jixel,che
54,ip,ge,twew
55,cibsus,insows,guoys
56,slellen,imeyits,phlere
57,tfaer,mun,daople
58,trood,roder,pealt
59,losh,benon,rebosks
60,loms,yos,utashing
61,nied,lant,cotosks
62,sint,baafness,albust
63,beeltisul,destrifs,duttery
64,telechinct,wase,banny
65,sudsage,speveal,collosks
66,bulbet,mich,molent
67,fattify,fite,liffs
68,hus,besime,brubs
69,groon,mannanency,freat
70,strosh,mout,woft
71,coth,sids,fistory
72,nop,flankfopper,scays
73,trull,ablood,naw
74,hust,complase,snose
75,streat,shink,chanding
76,bads,mader,rackle
