STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
able,4,318.346,3,1.88,12677.22,169.25,534.56,15.67,320.28,1.5,284852.37,36324.75,14216.97,3016.67,3767.56,880.5
ablood,6,NA,0,0,5538.13,442.33,197.71,20,4.06,1.5,238464.68,28271.83,9038.43,1699.4,2021.15,330
accastanct,10,NA,0,0,1501.35,485.2,318.13,72.67,102.34,17.5,283008.06,35974,21922.61,3101.56,2032.75,373.25
accustomed,10,21.0604,0,0,1512.29,573,392.66,120.33,75.38,13.38,250242.32,32742.8,21576.28,3031.11,2163.25,248.75
acquisitiveness,15,0.297464,0,0,31.44,58.27,7.28,23.93,4.83,16.69,272693.68,39437.47,20886.16,3826,2334.24,647.08
after,5,1185.51,3,5.81,8994.55,330.8,3384.79,66.75,1702.09,7.67,326597.84,38161,26220.82,4821.75,4506.16,785.67
ag,2,NA,9,1856.46,8354.06,4.5,0,0,NA,NA,232896.9,29288,6457.76,1329,NA,NA
again,5,766.802,0,0,6698.84,239.2,1090.55,19.25,873.97,5.67,287943.66,37547.8,26036.36,4199.25,2824.18,204
agreed,6,100.543,1,6.96,9473.15,889.5,2275.97,210,255.42,6.5,319613.15,41010.83,24988.43,3702.4,1783.31,206.5
air,3,261.411,5,55.35,22452.08,54.33,399.79,3.5,261.41,1,310035.42,43210.67,11885.14,1410.5,1536.7,261
albust,6,NA,0,0,4243.39,325.17,538.43,35.6,30.83,3,231990.59,31566.33,17769.58,3019.6,1054.82,132.5
alipol,6,NA,0,0,3819,352.83,395.6,28.2,2.54,1.75,238164.59,33084.67,14687.31,2928.8,892.05,328.75
alk,3,NA,9,414.97,14641.35,23.67,1757.74,3,0,0,194318.72,25436,16197.94,2542,978.12,93
almost,6,481.177,0,0,4770.02,364.33,913.32,37.6,487.74,3.5,272263.37,34730.17,17227.8,2972.8,1464.74,129.25
am,2,738.008,11,1453.64,8733,6.5,738.01,1,NA,NA,242249.74,28314.5,8231.12,1540,NA,NA
